&&&&&
21:37:57.311&375,30&0,01&22:11:25.254&873,31&0,09
21:37:57.359&349,55&0,00&22:11:25.303&1096,02&0,19
21:37:57.408&795,96&0,17&22:11:25.352&1154,65&0,22
21:37:57.506&1124,36&0,30&22:11:25.401&1414,93&0,34
21:37:57.506&664,30&0,12&22:11:25.449&961,12&0,13
21:37:57.554&468,96&0,05&22:11:25.503&877,49&0,09
21:37:57.603&433,24&0,03&22:11:25.546&886,98&0,10
21:37:57.651&2334,45&0,77&22:11:25.596&824,89&0,07
21:37:57.700&2936,90&1,00&22:11:25.645&1423,64&0,35
21:37:57.749&2220,15&0,72&22:11:25.693&2323,01&0,76
21:37:57.800&915,78&0,22&22:11:25.742&1078,30&0,19
21:37:57.846&1095,01&0,29&22:11:25.791&882,43&0,09
21:37:57.900&1092,41&0,29&22:11:25.841&851,94&0,08
21:37:57.944&951,10&0,23&22:11:25.888&678,93&0,00
21:37:57.996&1340,62&0,38&22:11:25.937&1777,75&0,51
21:37:58.042&2144,14&0,69&22:11:25.986&2830,06&1,00
21:37:58.186&2881,04&0,98&22:11:26.082&1175,78&0,23
21:37:58.188&2800,97&0,95&22:11:26.084&1155,21&0,22
21:37:58.240&1016,71&0,26&22:11:26.134&1069,57&0,18
21:37:58.286&1123,59&0,30&22:11:26.181&895,96&0,10
21:37:58.334&1191,39&0,33&22:11:26.230&1306,94&0,29
